Date,Description,Original Description,Category,Amount,Status
2026-08-05,"PayPal","PAYPAL           PURCHASE   ***********BILL",Uncategorized,-27.58,Posted
2026-08-05,"PayPal","PAYPAL           PURCHASE   ***********BILL",Uncategorized,-14.31,Posted
2026-08-04,"Chaparral","CHAPARRAL RD KILLEEN     KILLEEN      TX",Gas,-2.58,Posted
2026-08-03,"PayPal","PAYPAL           PURCHASE   ***********BILL",Uncategorized,-21.55,Posted
2026-08-03,"Jersey Mike's Subs","JERSEY MIKES 15213       KILLEEN      TX",Fast Food,-31.23,Posted
2026-07-31,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-16.84,Posted
2026-07-30,"DoorDash","DD *DOORDASH POPEYESLO   855-973-1040 CA",Food & Dining,-62.80,Posted
2026-07-29,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-3.86,Posted
2026-07-27,"Orlando","P722776                  ORLANDO      FL",Cash,-101.99,Posted
2026-07-27,"7-Eleven","7-ELEVEN                 Orlando      FL",Gas,-57.06,Posted
2026-07-27,"Another Broken Egg Orlando Fl via Payrix","PY *ANOTHER BROKEN EGG   ORLANDO      FL",Restaurants,-50.22,Posted
2026-07-27,"7-Eleven","7-ELEVEN                 Orlando      FL",Gas,-43.91,Posted
2026-07-27,"Walgreens","WALGREENS #6391          ORLANDO      FL",Pharmacy,-42.59,Posted
2026-07-27,"H-E-B","H-E-B #721               KILLEEN      TX",Groceries,-37.02,Posted
2026-07-27,"Sports Gri","NBC SPORTS GRI00107615   ORLANDO      FL",Restaurants,-27.59,Posted
2026-07-27,"Tailwind","TAILWIND GRK             KILLEEN      TX",Restaurants,-14.72,Posted
2026-07-27,"Coke Ic","COKE ICON AT C00104299   ORLANDO      FL",Fast Food,-10.20,Posted
2026-07-27,"McDonald's","MCDONALD'S M5408 OF FL   LAKELAND     FL",Fast Food,-9.83,Posted
2026-07-27,"Renaissance Hotel Airp","RENAISSANCE HOTEL AIRP   ORLANDO      FL",Hotel,-9.59,Posted
2026-07-27,"Starbucks","STARBUCKS STORE 09875    ORLANDO      FL",Coffee Shops,-6.64,Posted
2026-07-27,"ATM Fee Rebate","ATM REBATE",Atm Fee,1.99,Posted
2026-07-27,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2026-07-24,"Styleseat.com","WWW.STYLES* TRESSES BY   STYLESEAT.COMTX",Hair,-78.00,Posted
2026-07-24,"Premium Parking","PREMIUM PARKING          PREMIUMPARKINLA",Parking,-38.97,Posted
2026-07-24,"Vercel.com","VERCEL INC.              VERCEL.COM   CA",Business Services,-21.32,Posted
2026-07-24,"Hteao 243 - Killeen Killeen Tx via Payrix","PY *HTEAO 243 - KILLEEN  KILLEEN      TX",Fast Food,-3.73,Posted
2026-07-23,"DoorDash","DD *DOORDASH WABAH       855-973-1040 CA",Food & Dining,-58.03,Posted
2026-07-23,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-12.98,Posted
2026-07-23,"Hteao 243 - Killeen Killeen Tx via Payrix","PY *HTEAO 243 - KILLEEN  KILLEEN      TX",Fast Food,-3.73,Posted
2026-07-22,"Star Mart","STAR MART 13             KILLEEN      TX",Groceries,-3.56,Posted
2026-07-21,"PayPal","PAYPAL           PURCHASE   ***********BILL",Uncategorized,-2.99,Posted
2026-07-21,"Chill Zone","CHILL ZONE 6             KILLEEN      TX",Shopping,-3.86,Posted
